Age,Sex,Number_of_biochemical_parameters,Number_of_diagnostics,0000 - 0600 Average,0600 - 1300 Average,1300 - 1600 Average,1600 - 2000 Average,2000 - 2400 Average,0000 - 0600 Hypo,0600 - 1300 Hypo,1300 - 1600 Hypo,1600 - 2000 Hypo,2000 - 2400 Hypo,0000 - 0600 Hyper,0600 - 1300 Hyper,1300 - 1600 Hyper,1600 - 2000 Hyper,2000 - 2400 Hyper,Total_hypo,Total_hyper,0000 - 0600 STD,0000 - 0600 MIN,0000 - 0600 MAX,0600 - 1300 STD,0600 - 1300 MIN,0600 - 1300 MAX,1300 - 1600 STD,1300 - 1600 MIN,1300 - 1600 MAX,1600 - 2000 STD,1600 - 2000 MIN,1600 - 2000 MAX,2000 - 2400 STD,2000 - 2400 MIN,2000 - 2400 MAX,Model
48.5,0.5,126.9,3.6,146.6,148.0,144.1,150.3,151.3,312.8,338.4,143.4,195.4,159.0,1328.9,1582.8,601.5,998.0,904.8,1343.9,6397.4,47.9,49.0,342.5,50.2,49.7,351.8,47.6,54.9,332.4,51.2,52.0,351.9,49.3,52.8,345.2,SOM_K2_data_V2_0
41.8,0.5,117.2,3.4,178.4,174.1,174.9,183.2,189.2,472.3,568.6,206.3,274.6,198.0,3593.1,4290.0,1810.5,2679.9,2571.6,2082.2,17424.6,69.2,46.0,450.1,68.3,45.5,449.1,68.8,49.7,441.8,73.9,48.1,461.6,73.8,48.8,461.5,SOM_K2_data_V2_0
49.5,0.5,131.4,4.3,185.7,182.5,186.1,193.7,198.3,149.8,186.3,60.8,72.5,55.7,1823.7,2106.1,934.3,1401.7,1282.5,650.5,8720.2,67.5,53.6,406.7,68.4,51.7,410.7,69.0,59.0,407.0,72.5,56.1,418.1,72.7,59.3,417.2,Gauss_K2_data_V2_0
43.0,0.5,117.8,3.2,158.6,157.1,154.3,161.7,165.5,489.1,565.9,218.9,296.6,222.6,2922.5,3510.2,1430.3,2170.0,2073.6,2140.0,14186.5,58.1,45.2,405.1,58.4,45.8,408.1,57.1,49.5,393.0,61.9,47.6,415.4,60.7,47.6,412.0,Gauss_K2_data_V2_0
49.0,0.6,123.9,3.7,140.6,142.4,140.0,147.0,145.8,257.3,253.1,113.1,147.1,124.6,860.4,1081.0,398.8,704.5,594.2,1035.2,4321.0,43.3,50.3,314.0,45.4,51.2,323.2,43.0,56.8,305.6,46.9,53.8,326.4,44.9,54.5,315.8,Kmeans_K3_data_V2_0
41.6,0.5,119.9,3.4,188.1,182.7,183.9,193.1,200.9,506.3,613.5,218.2,291.7,195.6,4074.3,4934.0,2103.4,3058.5,2943.0,2220.6,19943.9,74.7,45.7,473.1,73.3,45.4,470.8,74.4,49.7,465.3,80.0,48.0,482.3,80.1,48.8,482.3,Kmeans_K3_data_V2_0
44.7,0.5,120.8,3.4,159.0,158.0,155.5,161.6,165.1,402.0,473.6,184.5,251.1,201.6,2419.1,2794.7,1126.3,1759.4,1673.6,1801.8,11441.4,57.5,46.8,397.7,58.5,46.6,402.5,57.1,50.9,387.1,60.9,48.9,408.5,59.7,49.5,407.5,Kmeans_K3_data_V2_0
43.2,0.5,116.9,3.2,155.9,156.2,152.9,159.5,162.2,496.8,562.6,222.2,301.9,227.9,2718.6,3311.0,1332.6,2032.2,1920.9,2151.7,13293.8,57.5,44.9,401.2,58.3,45.7,405.2,56.9,49.3,390.5,61.4,47.4,413.1,59.8,47.4,407.7,Gauss_K3_data_V2_0
53.6,0.6,138.0,4.5,167.3,161.2,168.5,173.3,176.9,44.0,65.1,13.1,21.7,10.4,1018.4,1056.5,546.5,828.7,782.4,206.4,4742.6,50.9,57.7,346.2,51.8,55.2,348.4,51.4,64.9,345.4,53.9,61.1,355.4,54.7,63.3,361.7,Gauss_K3_data_V2_0
41.9,0.4,124.4,3.7,207.0,198.7,198.8,212.6,222.9,343.2,461.5,150.3,179.7,137.1,3986.1,4602.0,1961.0,2901.3,2787.2,1582.9,18878.6,83.8,47.5,484.9,81.5,46.7,485.7,83.2,50.8,475.3,89.8,49.4,491.0,90.8,51.9,490.8,Gauss_K3_data_V2_0
40.4,0.5,118.0,3.4,194.9,188.5,189.5,198.8,207.6,452.6,577.8,190.3,254.6,167.7,4374.6,5263.8,2255.3,3265.8,3128.3,2030.6,21296.2,77.8,45.9,482.5,76.2,45.3,482.8,77.7,49.5,474.6,83.1,48.0,486.1,83.0,49.3,488.1,Kmeans_K4_data_V2_0
48.3,0.6,127.0,3.5,153.6,154.1,149.1,155.4,158.1,351.2,387.5,164.9,230.9,183.7,1711.7,2020.8,763.0,1249.5,1144.9,1540.8,8147.7,52.3,48.1,368.3,54.4,48.6,374.3,51.6,53.4,356.3,55.2,50.9,374.5,53.6,51.5,370.3,Kmeans_K4_data_V2_0
43.0,0.5,115.2,3.3,164.4,161.6,161.9,169.7,173.0,497.5,568.9,223.5,295.4,228.0,2961.3,3492.8,1442.4,2203.4,2109.5,2158.7,14259.8,62.1,45.9,423.4,61.7,45.5,420.3,61.2,49.6,413.8,66.3,48.0,442.2,65.9,48.2,439.1,Kmeans_K4_data_V2_0
48.7,0.5,129.5,3.9,133.2,136.9,135.8,141.0,139.8,220.8,226.8,94.1,118.2,101.4,533.6,689.4,278.7,478.5,431.3,894.0,2822.2,39.3,51.0,291.0,42.2,52.2,309.0,40.2,58.1,287.2,43.3,54.5,305.6,41.4,55.6,296.7,Kmeans_K4_data_V2_0
41.5,0.5,122.3,3.9,212.2,202.0,204.0,217.0,225.8,277.1,384.4,127.6,154.3,103.6,4150.9,4826.0,2041.2,2989.5,2842.3,1303.8,19634.7,83.9,48.3,486.4,80.8,47.0,488.6,84.2,51.1,481.8,89.8,50.2,491.5,89.8,52.4,491.0,Kmeans_K5_data_V2_0
49.1,0.5,126.5,3.9,132.3,136.7,135.7,140.3,139.4,203.6,187.9,85.6,113.6,93.8,464.7,627.1,262.9,432.3,382.3,786.8,2533.3,38.6,51.0,285.9,41.8,52.5,305.2,39.8,58.9,283.4,42.9,54.8,303.7,40.9,56.0,293.1,Kmeans_K5_data_V2_0
43.6,0.5,119.7,3.3,163.2,159.7,159.7,167.1,169.9,417.3,503.5,192.2,245.9,205.5,2651.8,3057.3,1254.6,1953.7,1846.1,1875.7,12566.2,60.0,46.9,408.3,60.0,46.5,411.1,59.0,51.1,399.6,63.7,49.1,424.6,63.1,49.4,424.9,Kmeans_K5_data_V2_0
47.8,0.6,123.7,3.5,152.1,153.4,147.6,154.2,156.1,334.1,364.0,150.6,217.5,172.3,1633.8,1925.8,717.7,1193.6,1067.8,1451.7,7746.7,51.5,48.2,363.0,53.5,48.4,367.6,50.8,52.8,349.5,54.1,50.9,367.1,52.3,51.5,359.6,Kmeans_K5_data_V2_0
41.6,0.5,116.5,3.1,170.3,168.6,168.8,175.1,182.8,679.4,784.9,289.3,398.2,266.6,4090.0,5089.3,2170.2,3144.4,3076.3,2913.9,20489.2,68.1,43.5,465.5,67.9,44.0,459.3,67.4,48.1,454.5,72.9,45.9,476.0,73.1,45.9,477.2,Kmeans_K5_data_V2_0
41.2,0.5,114.6,3.0,172.1,169.7,169.9,176.5,184.3,656.7,768.5,277.8,382.0,261.7,4123.8,5091.2,2193.8,3181.4,3086.4,2837.4,20574.0,68.4,43.8,466.3,68.2,43.9,460.0,67.9,48.1,454.4,73.6,46.0,478.5,74.0,45.9,479.6,Kmeans_K6_data_V2_0
49.2,0.5,129.6,4.1,131.7,135.6,135.1,139.9,138.8,208.2,190.9,87.5,113.8,96.6,437.5,588.6,250.9,426.4,364.0,800.3,2405.1,38.3,51.0,284.2,41.3,52.4,302.8,39.5,59.0,282.1,42.6,54.7,302.3,40.5,55.8,290.4,Kmeans_K6_data_V2_0
43.8,0.5,123.8,3.1,165.3,160.1,164.8,172.4,176.6,332.1,419.2,142.6,182.5,139.6,2395.1,2734.2,1203.3,1865.9,1852.7,1492.7,11582.0,59.5,47.8,399.3,58.8,47.6,389.8,59.8,52.9,397.2,65.0,50.6,431.2,64.8,51.0,436.3,Kmeans_K6_data_V2_0
41.3,0.5,123.1,3.9,212.2,202.3,204.3,217.3,226.1,282.8,393.0,129.4,156.9,105.4,4191.9,4873.6,2062.3,3022.0,2873.0,1331.0,19834.0,84.4,47.8,487.1,81.3,46.9,489.2,84.6,50.9,483.5,90.2,49.8,491.5,90.2,52.3,491.5,Kmeans_K6_data_V2_0
44.5,0.5,112.7,3.7,156.9,160.7,151.5,155.0,156.3,599.4,651.1,294.7,395.3,321.0,2998.4,3644.0,1311.5,1984.1,1798.1,2617.8,14068.6,60.5,45.3,424.5,63.0,45.0,456.0,58.3,48.9,412.7,60.2,46.9,409.4,58.4,46.9,396.5,Kmeans_K6_data_V2_0
47.8,0.6,123.3,3.5,152.1,152.4,146.7,154.6,156.0,332.0,367.8,149.6,211.5,170.0,1637.6,1919.8,715.8,1207.0,1074.1,1449.3,7758.3,51.1,48.2,361.7,52.7,48.5,363.4,50.0,52.5,344.1,54.1,50.9,365.6,52.2,51.7,360.6,Kmeans_K6_data_V2_0
50.0,0.6,112.3,3.4,146.3,145.7,146.4,154.2,151.3,192.3,225.5,95.9,112.0,108.4,939.9,1051.3,431.9,759.4,642.8,863.7,4444.7,45.4,50.4,322.7,46.7,50.9,331.1,44.9,56.9,311.7,49.3,54.7,336.8,47.0,55.8,326.0,Kmeans_K7_data_V2_0
39.3,0.4,106.4,3.0,162.0,155.1,147.0,156.9,160.9,616.9,734.2,292.7,388.7,319.2,3205.5,3456.8,1269.6,2055.0,2083.6,2793.2,14257.5,63.2,45.3,447.8,60.0,43.5,428.1,55.9,46.8,383.7,61.5,46.8,414.4,62.6,46.9,426.7,Kmeans_K7_data_V2_0
40.9,0.5,124.4,3.8,214.7,204.3,204.4,218.8,227.1,270.3,382.6,120.9,148.6,100.2,4203.4,4901.6,2065.6,3039.1,2876.4,1284.4,19922.0,84.8,48.1,487.7,81.5,47.0,489.2,84.5,50.6,482.1,90.4,49.9,490.6,90.4,52.3,491.1,Kmeans_K7_data_V2_0
45.9,0.5,124.8,3.7,165.9,166.4,175.4,179.7,181.2,268.8,320.7,102.5,148.9,111.9,2400.0,2994.8,1363.3,2003.6,1822.3,1171.1,12215.6,59.7,48.4,393.7,61.3,48.4,401.5,63.5,54.2,418.5,68.0,50.9,448.7,66.4,51.4,437.3,Kmeans_K7_data_V2_0
47.3,0.5,143.6,4.5,122.5,127.2,122.7,127.7,128.4,249.6,209.3,106.4,144.9,103.9,155.4,285.7,104.3,209.3,148.8,917.0,1084.8,33.3,52.4,261.1,36.1,54.2,277.6,33.9,59.4,258.8,36.4,53.5,276.2,35.7,54.4,268.2,Kmeans_K7_data_V2_0
40.5,0.5,112.8,2.9,171.9,168.6,168.3,174.9,183.8,725.3,851.9,317.6,419.7,286.8,4364.7,5341.7,2275.7,3309.1,3220.7,3135.4,21578.0,69.3,42.8,472.2,69.0,43.4,468.5,68.7,47.4,461.7,73.9,45.3,478.1,74.1,45.1,481.5,Kmeans_K7_data_V2_0
48.3,0.5,133.0,3.6,152.5,155.7,148.5,153.4,157.7,379.2,396.1,167.4,243.5,185.2,1809.8,2251.3,843.2,1341.9,1252.0,1600.1,8906.1,52.8,47.2,370.6,56.2,47.8,384.4,53.2,52.4,366.0,55.9,49.9,377.7,54.0,50.6,371.7,Kmeans_K7_data_V2_0
